plant_type,soil_fertility,irrigation_efficiency,boost_strategy,growth_hack,ideal_ph,recommendation
Kachnar,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Use organic compost to improve soil structure.,6.0-7.5,Kachnar needs a nutrient boost to increase yield.
Kachnar,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Use organic compost to improve soil structure.,6.0-7.5,Kachnar needs a nutrient boost to increase yield.
Kachnar,Medium,0-50% (Low),Repair irrigation leaks.,Mulch around the base to reduce evaporation.,6.0-7.5,Repair pipes to save 30% more water for production.
Kachnar,Medium,51-100% (High),Maintain current management.,Prune dead branches to encourage new growth.,6.0-7.5,Excellent management. Kachnar is on track for maximum production.
Kachnar,High,0-50% (Low),Repair irrigation leaks.,Mulch around the base to reduce evaporation.,6.0-7.5,Repair pipes to save 30% more water for production.
Kachnar,High,51-100% (High),Maintain current management.,Prune dead branches to encourage new growth.,6.0-7.5,Excellent management. Kachnar is on track for maximum production.
Thuja,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Provide afternoon shade in extreme heat.,5.0-6.5,Thuja needs a nutrient boost to increase yield.
Thuja,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Provide afternoon shade in extreme heat.,5.0-6.5,Thuja needs a nutrient boost to increase yield.
Thuja,Medium,0-50% (Low),Repair irrigation leaks.,Mist foliage in dry conditions to prevent browning.,5.0-6.5,Repair pipes to save 30% more water for production.
Thuja,Medium,51-100% (High),Maintain current management.,Ensure soil pH stays slightly acidic.,5.0-6.5,Excellent management. Thuja is on track for maximum production.
Thuja,High,0-50% (Low),Repair irrigation leaks.,Mist foliage in dry conditions to prevent browning.,5.0-6.5,Repair pipes to save 30% more water for production.
Thuja,High,51-100% (High),Maintain current management.,Ensure soil pH stays slightly acidic.,5.0-6.5,Excellent management. Thuja is on track for maximum production.
Rose,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Deadhead faded blooms to stimulate new flowers.,6.0-7.0,Rose needs a nutrient boost to increase yield.
Rose,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Deadhead faded blooms to stimulate new flowers.,6.0-7.0,Rose needs a nutrient boost to increase yield.
Rose,Medium,0-50% (Low),Repair irrigation leaks.,Apply neem oil to prevent black spot fungi.,6.0-7.0,Repair pipes to save 30% more water for production.
Rose,Medium,51-100% (High),Maintain current management.,Add banana peels to soil for extra potassium.,6.0-7.0,Excellent management. Rose is on track for maximum production.
Rose,High,0-50% (Low),Repair irrigation leaks.,Apply neem oil to prevent black spot fungi.,6.0-7.0,Repair pipes to save 30% more water for production.
Rose,High,51-100% (High),Maintain current management.,Add banana peels to soil for extra potassium.,6.0-7.0,Excellent management. Rose is on track for maximum production.
Euphorbia,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Ensure sharp drainage; avoid standing water.,5.0-7.0,Euphorbia needs a nutrient boost to increase yield.
Euphorbia,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Ensure sharp drainage; avoid standing water.,5.0-7.0,Euphorbia needs a nutrient boost to increase yield.
Euphorbia,Medium,0-50% (Low),Repair irrigation leaks.,Use a gravel top-layer to prevent stem rot.,5.0-7.0,Repair pipes to save 30% more water for production.
Euphorbia,Medium,51-100% (High),Maintain current management.,Limit fertilization during winter months.,5.0-7.0,Excellent management. Euphorbia is on track for maximum production.
Euphorbia,High,0-50% (Low),Repair irrigation leaks.,Use a gravel top-layer to prevent stem rot.,5.0-7.0,Repair pipes to save 30% more water for production.
Euphorbia,High,51-100% (High),Maintain current management.,Limit fertilization during winter months.,5.0-7.0,Excellent management. Euphorbia is on track for maximum production.
Guava,Low,0-50% (Low),Apply NPK 20-20-20 fertilizer.,Spray Zinc Sulfate to improve fruit size.,5.0-7.0,Guava needs a nutrient boost to increase yield.
Guava,Low,51-100% (High),Apply NPK 20-20-20 fertilizer.,Spray Zinc Sulfate to improve fruit size.,5.0-7.0,Guava needs a nutrient boost to increase yield.
Guava,Medium,0-50% (Low),Repair irrigation leaks.,Thin out excess fruits to prevent branch breakage.,5.0-7.0,Repair pipes to save 30% more water for production.
Guava,Medium,51-100% (High),Maintain current management.,Prune to a single trunk for higher commercial yield.,5.0-7.0,Excellent management. Guava is on track for maximum production.
Guava,High,0-50% (Low),Repair irrigation leaks.,Thin out excess fruits to prevent branch breakage.,5.0-7.0,Repair pipes to save 30% more water for production.
