urdu_name,scientific_name,disease_names,causes,symptoms,treatment_organic,treatment_chemical,irrigation
Kachnar,Bauhinia variegata,Leaf Spot,Fungal pathogens,Dark brown spots on leaves.,Remove fallen leaves; Neem oil.,Copper fungicide.,Water at base.
Kachnar,Bauhinia variegata,Canker,Bacterial/Fungal,Sunken lesions on branches.,Prune infected branches.,Streptomycin spray.,Avoid overwatering.
Kachnar,Bauhinia variegata,Root Rot,Phytophthora,Wilting and yellowing of leaves.,Improve drainage; use compost.,Fosetyl-Al drench.,Allow soil to dry.
Kachnar,Bauhinia variegata,Powdery Mildew,Fungus (Erysiphe),White powdery coating on leaves.,Sulfur spray; thinning.,Triadimefon.,Morning watering.
Thuja,Thuja,Tip Blight,Pestalotiopsis,Brown tips with black spots.,Prune and burn infected tips.,Mancozeb.,Avoid overhead water.
Thuja,Thuja,Root Rot,Armillaria,Stunted growth; honey-colored fungi.,Remove debris; good drainage.,Copper drench.,Moderate.
Thuja,Thuja,Canker,Seiridium,Bleeding cankers on bark.,Sterilized pruning.,Thiophanate-methyl.,Deep watering.
Thuja,Thuja,Needle Blight,Didymascella,Small brown spots on scales.,Clear leaf litter.,Chlorothalonil.,Good airflow.
Rose,Rosa,Powdery Mildew,Sphaerotheca,White powder on buds.,Milk-water spray.,Sulfur dust.,Keep leaves dry.
Rose,Rosa,Black Spot,Diplocarpon,Circular black spots; yellow halo.,Remove leaves; Neem oil.,Propiconazole.,Morning watering.
Rose,Rosa,Rust,Phragmidium,Orange pustules under leaves.,Prune infected parts.,Mancozeb.,Base watering.
Rose,Rosa,Botrytis Blight,Botrytis cinerea,Gray mold on flowers/buds.,Remove dead flowers.,Carbendazim.,Avoid humidity.
Euphorbia,Euphorbia,Root Rot,Overwatering,"Soft, mushy stem base.",Let soil dry; repot.,Fungicide drench.,Very minimal.
Euphorbia,Euphorbia,Powdery Mildew,Fungus,White patches on leaves.,Increase sunlight.,Sulfur spray.,Dry environment.
Euphorbia,Euphorbia,Leaf Spot,Alternaria,Necrotic spots with rings.,Remove spotted leaves.,Copper spray.,Controlled.
